,tickers,company overview
0,095570,"동사가 영위하는 사업은 렌탈 사업부문, 창고 및 유통부문, 그리고 기타부문으로 구분됨. 렌탈 사업부문은 로지스, B&T솔루션사업, 산업안전장비로 나뉘며 로지스부문은 파렛트 등 물류기자재 렌탈 및 유통을, B&T솔루션사업은 OA기기, 모바일기기, 환경기기 등 렌탈 및 유통을 주요 재화및 용역으로 함. 창고 및 유통부문 사업은 냉장 및 냉동창고 임대를 영위하는 창고, 유류도소매, 태양광발전을 영위하는 에너지 부문 등으로 나뉨."
1,006840,"2012년 9월 인적분할을 통해 제조사업부문을 신설회사 애경유화에 승계하고 지주회사로 전환하면서 AK홀딩스로 상호를 변경함. 주요 매출은 배당금 수익, 상표권 수익, 경영자문수수료 수익으로 구성되어 있음. 종속회사가 영위하는 주요사업부문은 화학부문(애경유화,에이케이켐텍 등), 생활용품 화장품부문(애경산업 등), 항공운송부문(제주항공, 모두락), 백화점부문(AK Plaza) 등이 있음."
2,027410,"동사는 1990년 편의점 사업을 시작하였으며, 편의점 체인화 사업을 목적으로 1994년 보광 CVS 사업부에서 별도법인 보광훼미리마트를 설립함. BGF그룹에 속한 계열회사로서 현재 12개의 계열회사가 있음. 이 중 상장회사는 2개사이며, 비상장회사는 10개사임. 주요 수익은 브랜드 사용수익, 업무용역제공을 통한 경영지원용역수익, 종속회사 등으로부터 수취하는 배당금 수익 및 임대수익임."
3,282330,"동사는 편의점 체인화 사업을 영위하고 있으며, 동사의 종속회사는 물류사업, 식품제조 및 유통 등 동사를 보조하는 업무를 수행함. 가맹본부가 자신의 상표, 서비스표, 상호, 영업표지 등을 제공하고 경영활동에 대한 지원, 교육과 통제를 하고 있음. 가맹점사업자는 가맹본부의 품질기준, 영업방식이나 시스템을 사용하여 점포를 책임 운영하여 상품을 판매하는 방식으로 운영됨."
4,138930,"동사는 2011년 부산은행, BNK투자증권, BNK신용정보, BNK캐피탈이 공동으로 주식의 포괄적 이전 방식에 의해 설립한 지방은행 최초의 금융지주회사임. 2015년 경남은행의 계열사 편입으로 부산/경남은행 두 은행 체제가 되었음. 2015년에 GS자산운용(BNK자산운용 사명 변경)을 자회사로 편입하여 은행, 증권, 자산운용, 여신전문, 저축은행업 등을 포괄하는 종합금융그룹이 됨. 2019년 11월 BNK벤처투자를 자회사 편입함."
5,001460,"1955년 5월 비와이씨 설립후 1972년 11월 신한방을 설립하였고 기타 회사를 설립 하였고, 1975년 6월 2일에 상장하였음. 동사는 제조업(도소매 포함), 건설업, 임대업을 영위하고 있으며, 제조업은 메리야스류의 제품을 주로 제조(또는 외주생산한 상품을 매입)하여 판매하고 있음. 건축도급공사와 자체분양공사로 건설업을 영위하고 있으며, 동사 보유부동산을 통하여 임대사업도 영위하고 있음. 주업종은 제조업임."
6,001465,Company overview not found on the webpage.
7,001040,"1953년에 설립되었으며, 2007년 9월 투자사업부문과 제조사업부문을 인적분할하여 지주회사로 전환함. 2024년 6월말 현재 CJ제일제당, CJ이엔엠 등 8개 자회사의 지분을 보유하고 있으며, 계열사(국내 기준)는 총 72개사임. 생활문화그룹 CJ는 지주회사인 동사를 비롯하여 식품&식품서비스, 생명공학, 물류&신유통, 엔터테인먼트&미디어 등 4대 주력 사업군으로 이루어지며, 시너지&인프라 분야가 업무역량을 뒷받침하고 있음."
8,079160,"1999년 3월에 CJ엔터테인먼트와 호주의 Village Cinema International PTY LTD 2개사의 합작법인인 CJ Village로 설립. 고품질의 멀티플렉스 극장을 국내에 최초로 보급, 단일관 위주 상영문화를 종합엔터테인먼트 플랫폼으로 선진화. 영화 상영업계에서 시장점유율 1위의 타이틀을 유지하고 있으며 ScreenX, 4DX 및 골드클래스, 씨네드쉐프, 템퍼시네마 등 프리미엄 상영관을 운영하고 있음."
9,00104K,Company overview not found on the webpage.
10,000120,"1930년 11월에 설립되어 CL사업부문, 택배사업부문, 글로벌사업부문, 건설사업부문을 주된 사업부문으로 영위함. 국내 유일의 직영 조직과 4만 개의 택배취급점, 약 2만 명의 배송기사를 확보하고 최근 물류센터 자동화 및 무인화를 적용하고 있음. 2024년 1분기 기준 매출구성은 글로벌사업부문 36.83%, 택배사업부문 31.02%, CL사업부문 24.59%, 건설사업부문 7.57%로 이루어져 있음."
