Unnamed: 0,tickers,market,name,BPS,PER,PBR,EPS,DIV,DPS,티커,상장주식수,외_보유수량,외_지분율,외_한도수량,외_한도소진율,mmt,naverTheme,시가총액,-1,0,1,종가
0,60310,KOSDAQ,3S,0.0,0.0,0.0,0.0,0.0,0.0,60310,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['냉각시스템(액침냉각 등)', '반도체 재료/부품', '여름']",0.0809,0.278,0.709,0.013,1525.0
1,6840,KOSPI,AK홀딩스,0.0,0.0,0.0,0.0,0.0,0.0,6840,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['항공/저가 항공사(LCC)', '페인트', '밸류업(24년 기업가치 제고계획 발표)', '지주사']",0.1026,0.018,0.764,0.218,7750.0
2,54620,KOSDAQ,APS,0.0,0.0,0.0,0.0,0.0,0.0,54620,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['지주사', 'OLED(유기 발광 다이오드)']",0.068,0.146,0.843,0.012,3700.0
3,265520,KOSDAQ,AP시스템,0.0,0.0,0.0,0.0,0.0,0.0,265520,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['플렉서블 디스플레이', 'OLED(유기 발광 다이오드)', '반도체 장비']",0.285,0.916,0.083,0.001,18940.0
4,211270,KOSDAQ,AP위성,0.0,0.0,0.0,0.0,0.0,0.0,211270,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['우주항공산업(누리호/인공위성 등)', '통신장비']",0.226,0.014,0.868,0.119,14990.0
5,27410,KOSPI,BGF,0.0,0.0,0.0,0.0,0.0,0.0,27410,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['자동차부품', '소매유통', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '지주사', '편의점']",0.3651,0.006,,0.994,3815.0
6,282330,KOSPI,BGF리테일,0.0,0.0,0.0,0.0,0.0,0.0,282330,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['소매유통', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '편의점']",1.896,0.121,0.042,0.836,109700.0
7,126600,KOSDAQ,BGF에코머티리얼즈,0.0,0.0,0.0,0.0,0.0,0.0,126600,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['자동차부품'],0.2479,0.661,0.337,0.001,3950.0
8,138930,KOSPI,BNK금융지주,0.0,0.0,0.0,0.0,0.0,0.0,138930,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['밸류업(24년 기업가치 제고계획 발표)', '지주사', '은행']",4.6859,0.0,0.005,0.995,15100.0
9,1460,KOSPI,BYC,0.0,0.0,0.0,0.0,0.0,0.0,1460,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['패션/의류', '日제품 불매운동(수혜)']",0.2638,0.001,0.085,0.914,42250.0
10,83790,KOSDAQ,CG인바이츠,0.0,0.0,0.0,0.0,0.0,0.0,83790,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['유전자 치료제/분석', '면역항암제', '슈퍼박테리아']",0.0999,0.996,0.004,0.0,1300.0
11,1040,KOSPI,CJ,0.0,0.0,0.0,0.0,0.0,0.0,1040,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['메타버스(Metaverse)', '음원/음반', '엔터테인먼트', '유전자 치료제/분석', '환율하락 수혜', '소매유통', '홈쇼핑', '영화', '지주사', '코로나19(진단/치료제/백신 개발 등)', '마이크로바이옴', '코로나19(진단키트)', '수산', '영상콘텐츠', '미디어(방송/신문)', '구제역/광우병 수혜', '종합 물류', '음식료업종', '김밥(냉동김밥 등)']",5.5436,0.001,0.003,0.997,190000.0
12,79160,KOSPI,CJ CGV,0.0,0.0,0.0,0.0,0.0,0.0,79160,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['영화'],1.0117,0.137,0.783,0.08,6110.0
13,35760,KOSDAQ,CJ ENM,0.0,0.0,0.0,0.0,0.0,0.0,35760,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['메타버스(Metaverse)', '음원/음반', '엔터테인먼트', '소매유통', '홈쇼핑', '영화', '영상콘텐츠', '미디어(방송/신문)']",1.3881,0.576,0.415,0.009,63300.0
14,311690,KOSDAQ,CJ 바이오사이언스,0.0,0.0,0.0,0.0,0.0,0.0,311690,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['유전자 치료제/분석', '코로나19(진단/치료제/백신 개발 등)', '마이크로바이옴', '코로나19(진단키트)']",0.1115,0.005,0.994,0.0,8540.0
15,120,KOSPI,CJ대한통운,0.0,0.0,0.0,0.0,0.0,0.0,120,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['종합 물류'],2.2447,0.213,0.778,0.009,98400.0
16,11150,KOSPI,CJ씨푸드,0.0,0.0,0.0,0.0,0.0,0.0,11150,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['수산', '구제역/광우병 수혜', '김밥(냉동김밥 등)']",0.1006,1.0,0.0,0.0,2800.0
17,97950,KOSPI,CJ제일제당,0.0,0.0,0.0,0.0,0.0,0.0,97950,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['환율하락 수혜', '음식료업종']",3.1839,1.0,0.0,0.0,211500.0
18,51500,KOSDAQ,CJ프레시웨이,0.0,0.0,0.0,0.0,0.0,0.0,51500,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['음식료업종'],0.2831,0.0,0.0,1.0,23850.0
19,58820,KOSDAQ,CMG제약,0.0,0.0,0.0,0.0,0.0,0.0,58820,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['제약업체'],0.255,0.359,0.504,0.137,1725.0
20,480,KOSPI,CR홀딩스,0.0,0.0,0.0,0.0,0.0,0.0,480,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['지주사'],0.2213,0.031,0.967,0.001,4720.0
21,65770,KOSDAQ,CS,0.0,0.0,0.0,0.0,0.0,0.0,65770,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['스마트홈(홈네트워크)', '스마트그리드(지능형전력망)', '통신장비', '지주사', '수자원(양적/질적 개선)', '화장품']",0.0145,0.0,0.995,0.005,751.0
22,83660,KOSDAQ,CSA 코스믹,0.0,0.0,0.0,0.0,0.0,0.0,83660,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['수자원(양적/질적 개선)', '화장품']",0.0285,0.019,0.904,0.078,455.0
23,590,KOSPI,CS홀딩스,0.0,0.0,0.0,0.0,0.0,0.0,590,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['지주사'],0.0857,0.0,0.003,0.996,74300.0
24,12030,KOSPI,DB,0.0,0.0,0.0,0.0,0.0,0.0,12030,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['증권', 'SI(시스템통합)', '반도체 대표주(생산)', '코리아 밸류업 지수(Korea Value-up Index)', '클라우드 컴퓨팅', '밸류업(25년 기업가치 제고계획 발표)', '시스템반도체', '밸류업(24년 기업가치 제고계획 발표)', '지주사', '스마트카(SMART CAR)', '교육/온라인 교육', '기업인수목적회사(SPAC)', '손해보험']",0.3013,0.001,0.002,0.997,1498.0
25,477760,KOSDAQ,DB금융스팩12호,0.0,0.0,0.0,0.0,0.0,0.0,477760,1000000.0,100000.0,10.0,500000.0,20.0,,['기업인수목적회사(SPAC)'],0.0128,,,,2200.0
26,5830,KOSPI,DB손해보험,0.0,0.0,0.0,0.0,0.0,0.0,5830,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '손해보험']",8.6871,0.001,0.936,0.063,122700.0
27,16610,KOSPI,DB증권,0.0,0.0,0.0,0.0,0.0,0.0,16610,1000000.0,100000.0,10.0,500000.0,20.0,,"['증권', '밸류업(24년 기업가치 제고계획 발표)']",0.4868,,,,11470.0
28,990,KOSPI,DB하이텍,0.0,0.0,0.0,0.0,0.0,0.0,990,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['반도체 대표주(생산)', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '시스템반도체', '밸류업(24년 기업가치 제고계획 발표)', '스마트카(SMART CAR)']",3.563,0.047,0.916,0.036,81900.0
29,290120,KOSDAQ,DH오토리드,0.0,0.0,0.0,0.0,0.0,0.0,290120,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['자동차부품'],0.0501,0.274,,0.726,3170.0
30,25440,KOSDAQ,DH오토웨어,0.0,0.0,0.0,0.0,0.0,0.0,25440,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['4차산업 수혜주', '자율주행차', '자동차부품']",0.0626,0.0,0.126,0.874,1284.0
